JobTitle,Group,Value,Type,Total
"Managers, nfd",Male,2593,a,
"Chief Executives, General Managers and Legislators",Male,8046,a,
Farmers and Farm Managers,Male,2520,a,
Specialist Managers,Male,55194,a,
"Hospitality, Retail and Service Managers",Male,29986,a,
"Professionals, nfd",Male,4124,a,
Arts and Media Professionals,Male,3104,a,
"Business, Human Resource and Marketing Professionals",Male,46259,a,
"Design, Engineering, Science and Transport Professionals",Male,37634,a,
Education Professionals,Male,14186,a,
Health Professionals,Male,27141,a,
ICT Professionals,Male,50288,a,
"Legal, Social and Welfare Professionals",Male,6054,a,
"Technicians and trades workers, nfd",Male,1869,a,
"Engineering, ICT and Science Technicians",Male,20903,a,
Automotive and Engineering Trades Workers,Male,27890,a,
Construction Trades Workers,Male,28960,a,
Electrotechnology and Telecommunications Trades Workers,Male,16284,a,
Food Trades Workers,Male,26193,a,
Skilled Animal and Horticultural Workers,Male,3082,a,
Other Technicians and Trades Workers,Male,7894,a,
Health and Welfare Support Workers,Male,4274,a,
Carers and Aides,Male,13192,a,
Hospitality Workers,Male,9911,a,
Protective Service Workers,Male,11004,a,
Sports and Personal Service Workers,Male,5658,a,
"Clerical and administrative workers, nfd",Male,156,a,
Office Managers and Program Administrators,Male,8956,a,
Personal Assistants and Secretaries,Male,330,a,
General Clerical Workers,Male,3982,a,
Inquiry Clerks and Receptionists,Male,4705,a,
Numerical Clerks,Male,12193,a,
Clerical and Office Support Workers,Male,5569,a,
Other Clerical and Administrative Workers,Male,10227,a,
"Sales workers, nfd",Male,130,a,
Sales Representatives and Agents,Male,9580,a,
Sales Assistants and Salespersons,Male,26199,a,
Sales Support Workers,Male,5075,a,
"Machinery operators and drivers, nfd",Male,906,a,
Machine and Stationary Plant Operators,Male,10922,a,
Mobile Plant Operators,Male,6072,a,
Road and Rail Drivers,Male,31327,a,
Storepersons,Male,9249,a,
"Labourers, nfd",Male,1270,a,
Cleaners and Laundry Workers,Male,16361,a,
Construction and Mining Labourers,Male,8030,a,
Factory Process Workers,Male,19541,a,
"Farm, Forestry and Garden Workers",Male,3525,a,
Food Preparation Assistants,Male,10100,a,
Other Labourers,Male,10626,a,
Inadequately described,Male,7526,a,
Not stated,Male,4896,a,
"Managers, nfd",Female,1343,b,
"Chief Executives, General Managers and Legislators",Female,2617,b,
Farmers and Farm Managers,Female,1262,b,
Specialist Managers,Female,26917,b,
"Hospitality, Retail and Service Managers",Female,21581,b,
"Professionals, nfd",Female,3676,b,
Arts and Media Professionals,Female,3032,b,
"Business, Human Resource and Marketing Professionals",Female,49653,b,
"Design, Engineering, Science and Transport Professionals",Female,15583,b,
Education Professionals,Female,26513,b,
Health Professionals,Female,64977,b,
ICT Professionals,Female,13510,b,
"Legal, Social and Welfare Professionals",Female,9555,b,
"Technicians and trades workers, nfd",Female,164,b,
"Engineering, ICT and Science Technicians",Female,8810,b,
Automotive and Engineering Trades Workers,Female,363,b,
Construction Trades Workers,Female,544,b,
Electrotechnology and Telecommunications Trades Workers,Female,415,b,
Food Trades Workers,Female,8695,b,
Skilled Animal and Horticultural Workers,Female,1994,b,
Other Technicians and Trades Workers,Female,6712,b,
"Community and personal service workers, nfd",Female,48,b,
Health and Welfare Support Workers,Female,8763,b,
Carers and Aides,Female,63991,b,
Hospitality Workers,Female,17673,b,
Protective Service Workers,Female,1525,b,
Sports and Personal Service Workers,Female,12147,b,
"Clerical and administrative workers, nfd",Female,219,b,
Office Managers and Program Administrators,Female,14970,b,
Personal Assistants and Secretaries,Female,5919,b,
General Clerical Workers,Female,16677,b,
Inquiry Clerks and Receptionists,Female,15484,b,
Numerical Clerks,Female,29638,b,
Clerical and Office Support Workers,Female,2392,b,
Other Clerical and Administrative Workers,Female,10661,b,
"Sales workers, nfd",Female,135,b,
Sales Representatives and Agents,Female,7547,b,
Sales Assistants and Salespersons,Female,35969,b,
Sales Support Workers,Female,11359,b,
"Machinery operators and drivers, nfd",Female,87,b,
Machine and Stationary Plant Operators,Female,2587,b,
Mobile Plant Operators,Female,190,b,
Road and Rail Drivers,Female,897,b,
Storepersons,Female,2870,b,
"Labourers, nfd",Female,323,b,
Cleaners and Laundry Workers,Female,22814,b,
Construction and Mining Labourers,Female,210,b,
Factory Process Workers,Female,13043,b,
"Farm, Forestry and Garden Workers",Female,2533,b,
Food Preparation Assistants,Female,10500,b,
Other Labourers,Female,2965,b,
Inadequately described,Female,4935,b,
Not stated,Female,4091,b,